PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
2582,Pontiac,Male,Married,35,Sedan - Collision,Sedan,"less than 20,000",1,400,2,1,6 years,31 to 35,External,no change,Collision
2583,Toyota,Male,Married,40,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,3,none,7 years,36 to 40,External,no change,All Perils
2584,Pontiac,Male,Single,35,Sedan - Liability,Sport,"20,000 to 29,000",3,400,3,1,6 years,31 to 35,External,4 to 8 years,Liability
2585,Toyota,Male,Married,55,Sedan - All Perils,Sedan,"20,000 to 29,000",13,400,1,2 to 4,more than 7,41 to 50,External,no change,All Perils
2586,Ford,Male,Single,32,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,1,1,6 years,31 to 35,External,no change,Collision
2587,Mazda,Male,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",14,400,4,2 to 4,7 years,36 to 40,External,no change,Liability
2588,Mazda,Female,Single,24,Sedan - Liability,Sport,"20,000 to 29,000",7,400,3,2 to 4,5 years,26 to 30,External,no change,Liability
2589,Toyota,Female,Married,50,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
2590,Pontiac,Male,Married,33,Sedan - All Perils,Sedan,"less than 20,000",16,400,3,1,6 years,31 to 35,External,no change,All Perils
2591,Toyota,Male,Single,31,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,3,2 to 4,7 years,31 to 35,External,no change,All Perils
2592,Pontiac,Female,Married,35,Sedan - Collision,Sedan,"less than 20,000",9,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
2593,Honda,Female,Married,54,Sedan - Collision,Sedan,"less than 20,000",16,400,3,none,more than 7,41 to 50,External,no change,Collision
2594,Pontiac,Male,Married,47,Sedan - All Perils,Sedan,"less than 20,000",3,400,1,none,more than 7,41 to 50,External,no change,All Perils
2595,Toyota,Male,Single,33,Sedan - All Perils,Sedan,"20,000 to 29,000",13,400,2,1,4 years,31 to 35,External,no change,All Perils
2596,Pontiac,Male,Married,46,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,4,more than 4,more than 7,41 to 50,External,no change,Collision
2597,Honda,Male,Married,63,Sport - Collision,Sport,"more than 69,000",8,400,1,none,more than 7,51 to 65,External,no change,Collision
2598,Toyota,Female,Married,53,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,1,1,7 years,41 to 50,External,no change,Collision
2599,Pontiac,Male,Married,59,Sedan - Liability,Sport,"20,000 to 29,000",10,400,4,2 to 4,more than 7,51 to 65,External,no change,Liability
2600,Saab,Male,Married,38,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,4,none,7 years,36 to 40,External,no change,Collision
2601,VW,Male,Married,28,Sedan - All Perils,Sedan,"30,000 to 39,000",8,400,3,2 to 4,7 years,31 to 35,External,no change,All Perils
2602,Pontiac,Female,Married,67,Sedan - Liability,Sport,"20,000 to 29,000",1,500,4,none,more than 7,over 65,External,2 to 3 years,Liability
2603,Pontiac,Male,Single,35,Sedan - Liability,Sport,"20,000 to 29,000",3,400,2,none,6 years,31 to 35,External,no change,Liability
2604,Mazda,Male,Single,25,Sedan - Liability,Sport,"20,000 to 29,000",5,400,1,none,5 years,26 to 30,External,no change,Liability
2605,Toyota,Male,Married,52,Sedan - Collision,Sedan,"20,000 to 29,000",8,700,1,none,more than 7,41 to 50,External,4 to 8 years,Collision
2606,Pontiac,Male,Single,44,Sedan - Liability,Sport,"20,000 to 29,000",1,400,2,2 to 4,7 years,36 to 40,External,no change,Liability
2607,Mazda,Male,Married,47,Utility - All Perils,Utility,"more than 69,000",2,400,4,none,more than 7,41 to 50,External,no change,All Perils
2608,Chevrolet,Female,Married,37,Sedan - Liability,Sport,"30,000 to 39,000",12,400,1,none,7 years,36 to 40,Internal,no change,Liability
2609,Toyota,Male,Married,42,Sedan - Liability,Sport,"30,000 to 39,000",9,400,2,2 to 4,more than 7,36 to 40,External,no change,Liability
2610,Toyota,Male,Married,43,Sedan - Liability,Sport,"20,000 to 29,000",5,400,4,more than 4,7 years,36 to 40,External,no change,Liability
2611,Chevrolet,Female,Married,38,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,2,2 to 4,6 years,36 to 40,External,no change,Collision
2612,Mazda,Male,Married,54,Sedan - Liability,Sport,"20,000 to 29,000",4,400,3,2 to 4,7 years,41 to 50,External,no change,Liability
2613,Chevrolet,Male,Married,45,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,2,none,7 years,36 to 40,External,no change,Collision
2614,Honda,Male,Single,44,Sedan - Liability,Sport,"more than 69,000",8,400,2,more than 4,more than 7,36 to 40,External,no change,Liability
2615,VW,Male,Married,47,Sedan - Liability,Sport,"more than 69,000",6,400,2,2 to 4,7 years,41 to 50,External,no change,Liability
2616,Mazda,Male,Married,51,Sedan - Liability,Sport,"20,000 to 29,000",2,400,4,none,more than 7,41 to 50,Internal,no change,Liability
2617,Toyota,Male,Single,35,Sedan - Liability,Sport,"20,000 to 29,000",12,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
2618,Toyota,Male,Married,36,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,1,none,5 years,36 to 40,External,no change,All Perils
2619,Honda,Male,Married,56,Sedan - Liability,Sport,"20,000 to 29,000",2,400,3,2 to 4,7 years,51 to 65,External,no change,Liability
2620,Honda,Male,Married,49,Sport - Collision,Sport,"more than 69,000",15,400,3,none,more than 7,41 to 50,External,no change,Collision
2621,Honda,Female,Single,35,Sport - Collision,Sport,"more than 69,000",5,400,3,none,6 years,31 to 35,External,no change,Collision
2622,Honda,Male,Married,51,Sedan - Liability,Sport,"20,000 to 29,000",5,400,3,1,7 years,41 to 50,External,no change,Liability
2623,BMW,Male,Married,55,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,1,none,7 years,41 to 50,External,no change,All Perils
2624,Mazda,Male,Single,26,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,1,2 to 4,6 years,31 to 35,External,no change,Collision
2625,Pontiac,Female,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",16,400,3,1,5 years,36 to 40,External,no change,Liability
2626,Accura,Male,Married,47,Sedan - Collision,Sedan,"30,000 to 39,000",3,400,4,2 to 4,more than 7,41 to 50,External,4 to 8 years,Collision
2627,Toyota,Male,Single,26,Sedan - Liability,Sport,"30,000 to 39,000",13,400,4,more than 4,5 years,31 to 35,External,no change,Liability
2628,Toyota,Male,Married,54,Sedan - All Perils,Sedan,"30,000 to 39,000",12,400,4,1,more than 7,41 to 50,External,no change,All Perils
2629,Pontiac,Male,Married,75,Sedan - All Perils,Sedan,"20,000 to 29,000",11,400,1,1,more than 7,over 65,External,no change,All Perils
2630,Pontiac,Male,Married,64,Sedan - Liability,Sport,"20,000 to 29,000",7,400,4,2 to 4,more than 7,51 to 65,External,no change,Liability
2631,Honda,Male,Single,30,Sedan - Liability,Sport,"30,000 to 39,000",5,400,3,2 to 4,5 years,31 to 35,External,no change,Liability
2632,Pontiac,Male,Married,63,Sedan - All Perils,Sedan,"20,000 to 29,000",11,400,2,none,more than 7,51 to 65,External,no change,All Perils
2633,Pontiac,Male,Married,46,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,1,none,more than 7,41 to 50,External,no change,Collision
2634,Honda,Male,Single,21,Sedan - Collision,Sedan,"30,000 to 39,000",16,400,2,none,5 years,26 to 30,External,no change,Collision
2635,Toyota,Male,Married,63,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,2,none,6 years,51 to 65,External,no change,All Perils
2636,Toyota,Male,Married,44,Sedan - Collision,Sedan,"20,000 to 29,000",8,700,4,1,7 years,36 to 40,External,no change,Collision
2637,Toyota,Male,Married,29,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,1,2 to 4,6 years,31 to 35,External,no change,All Perils
2638,Honda,Male,Married,60,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,2,1,more than 7,51 to 65,External,no change,Collision
2639,Pontiac,Male,Married,72,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,3,1,7 years,over 65,External,no change,All Perils
2640,Toyota,Male,Married,41,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,3,none,7 years,36 to 40,External,1 year,Collision
2641,Pontiac,Male,Married,62,Sedan - Liability,Sport,"20,000 to 29,000",3,400,1,2 to 4,more than 7,51 to 65,External,no change,Liability
2642,Honda,Male,Single,17,Sedan - All Perils,Sedan,"more than 69,000",2,400,3,none,new,16 to 17,External,no change,All Perils
2643,Pontiac,Male,Married,42,Sedan - Liability,Sport,"30,000 to 39,000",3,400,4,2 to 4,more than 7,36 to 40,External,no change,Liability
2644,Pontiac,Male,Married,56,Sedan - All Perils,Sedan,"30,000 to 39,000",12,400,3,2 to 4,more than 7,51 to 65,External,no change,All Perils
2645,Mazda,Male,Single,44,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,3,1,7 years,36 to 40,External,no change,Collision
2646,Pontiac,Male,Single,32,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,2,2 to 4,5 years,31 to 35,External,no change,All Perils
2647,Pontiac,Female,Married,62,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,4,more than 4,more than 7,51 to 65,External,4 to 8 years,Collision
2648,Mazda,Male,Married,38,Sedan - Collision,Sedan,"30,000 to 39,000",15,400,4,1,7 years,36 to 40,External,no change,Collision
2649,Mazda,Female,Single,45,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,4,none,7 years,36 to 40,External,no change,Collision
2650,Toyota,Male,Married,56,Sedan - Liability,Sport,"30,000 to 39,000",8,400,2,2 to 4,more than 7,51 to 65,External,no change,Liability
2651,Pontiac,Male,Married,62,Sedan - Collision,Sedan,"less than 20,000",2,400,2,2 to 4,more than 7,51 to 65,External,no change,Collision
2652,Pontiac,Male,Married,33,Sedan - Liability,Sport,"30,000 to 39,000",11,400,1,more than 4,7 years,31 to 35,External,no change,Liability
2653,Toyota,Female,Single,27,Sedan - Liability,Sport,"more than 69,000",11,500,2,more than 4,7 years,31 to 35,External,2 to 3 years,Liability
2654,Honda,Male,Single,37,Sedan - Liability,Sport,"20,000 to 29,000",5,400,1,more than 4,7 years,36 to 40,External,no change,Liability
2655,Accura,Male,Married,31,Sedan - Liability,Sport,"20,000 to 29,000",8,400,1,1,7 years,31 to 35,External,no change,Liability
2656,Pontiac,Female,Single,35,Sedan - All Perils,Sedan,"less than 20,000",14,400,3,none,5 years,31 to 35,External,no change,All Perils
2657,Honda,Male,Married,36,Sedan - Liability,Sport,"30,000 to 39,000",11,400,2,more than 4,7 years,36 to 40,External,no change,Liability
2658,Toyota,Male,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",2,400,1,more than 4,7 years,36 to 40,External,no change,Liability
2659,VW,Male,Married,27,Sedan - All Perils,Sedan,"20,000 to 29,000",13,400,1,none,7 years,31 to 35,External,no change,All Perils
2660,Honda,Male,Married,63,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,4,2 to 4,more than 7,51 to 65,External,no change,Collision
2661,Pontiac,Male,Married,62,Sedan - All Perils,Sedan,"less than 20,000",7,400,2,none,7 years,51 to 65,External,no change,All Perils
2662,Toyota,Male,Married,57,Sedan - Collision,Sedan,"more than 69,000",10,400,4,1,7 years,51 to 65,External,no change,Collision
2663,Pontiac,Male,Single,21,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,1,none,5 years,26 to 30,External,no change,All Perils
2664,Toyota,Male,Married,64,Sedan - Liability,Sport,"more than 69,000",12,400,1,1,6 years,51 to 65,External,no change,Liability
2665,Pontiac,Male,Married,39,Sedan - Collision,Sedan,"30,000 to 39,000",16,400,1,2 to 4,6 years,36 to 40,External,no change,Collision
2666,Honda,Male,Single,27,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,4,2 to 4,6 years,31 to 35,External,no change,All Perils
2667,Mazda,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,4,none,6 years,36 to 40,External,no change,Collision
2668,Pontiac,Male,Married,59,Sedan - Collision,Sedan,"more than 69,000",1,400,2,1,more than 7,51 to 65,External,4 to 8 years,Collision
2669,Pontiac,Male,Single,34,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,1,1,7 years,31 to 35,External,no change,Collision
2670,Honda,Male,Married,51,Sedan - All Perils,Sedan,"more than 69,000",12,400,4,more than 4,6 years,41 to 50,External,no change,All Perils
2671,Toyota,Male,Single,32,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,3,2 to 4,6 years,31 to 35,External,no change,All Perils
2672,Toyota,Male,Married,40,Sedan - Liability,Sport,"20,000 to 29,000",7,400,3,none,7 years,36 to 40,External,no change,Liability
2673,Pontiac,Male,Married,50,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,4,none,7 years,41 to 50,External,no change,Collision
2674,Mazda,Male,Single,30,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,1,none,6 years,31 to 35,External,no change,Collision
2675,Toyota,Female,Married,26,Sedan - Liability,Sport,"20,000 to 29,000",5,400,1,none,6 years,31 to 35,External,no change,Liability
2676,Pontiac,Male,Single,25,Sedan - Liability,Sport,"20,000 to 29,000",16,400,4,more than 4,4 years,26 to 30,External,no change,Liability
2677,Pontiac,Male,Married,21,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,2,none,5 years,26 to 30,External,no change,All Perils
2678,Ford,Male,Married,32,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,2,none,6 years,31 to 35,External,no change,All Perils
2679,Pontiac,Male,Married,54,Sedan - All Perils,Sedan,"30,000 to 39,000",8,400,3,1,more than 7,41 to 50,External,no change,All Perils
2680,Pontiac,Female,Divorced,30,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,3,none,6 years,31 to 35,External,no change,Collision
2681,Saab,Male,Married,40,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,3,1,7 years,36 to 40,External,no change,Collision
2682,Toyota,Male,Married,42,Sedan - All Perils,Sedan,"less than 20,000",15,400,4,2 to 4,6 years,36 to 40,External,no change,All Perils
2683,Mazda,Male,Single,25,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,1,none,4 years,26 to 30,External,no change,All Perils
2684,Pontiac,Male,Married,54,Sedan - All Perils,Sedan,"20,000 to 29,000",13,400,3,1,6 years,41 to 50,External,no change,All Perils
2685,Mazda,Male,Single,28,Sport - Collision,Sport,"more than 69,000",6,400,2,1,6 years,31 to 35,External,no change,Collision
2686,Pontiac,Male,Married,40,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,1,1,7 years,36 to 40,External,no change,All Perils
2687,Pontiac,Male,Single,21,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,2,more than 4,5 years,26 to 30,External,no change,Collision
2688,Pontiac,Male,Married,34,Sedan - All Perils,Sedan,"less than 20,000",11,400,4,more than 4,7 years,31 to 35,External,no change,All Perils
2689,Toyota,Male,Married,39,Sedan - Liability,Sport,"30,000 to 39,000",7,400,2,2 to 4,7 years,36 to 40,External,4 to 8 years,Liability
2690,Honda,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,4,none,more than 7,36 to 40,External,no change,Collision
2691,Honda,Male,Married,47,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,3,1,more than 7,41 to 50,External,no change,All Perils
2692,Toyota,Male,Married,54,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,1,none,7 years,41 to 50,External,no change,Collision
2693,Accura,Male,Married,65,Utility - All Perils,Utility,"more than 69,000",16,400,1,none,more than 7,51 to 65,External,no change,All Perils
2694,Pontiac,Male,Married,39,Sedan - Liability,Sport,"30,000 to 39,000",7,400,4,2 to 4,7 years,36 to 40,External,no change,Liability
2695,Pontiac,Male,Single,36,Sedan - Liability,Sport,"20,000 to 29,000",8,400,1,1,7 years,36 to 40,External,no change,Liability
2696,Honda,Male,Single,17,Sedan - Liability,Sport,"more than 69,000",10,400,1,1,new,16 to 17,External,no change,Liability
2697,Pontiac,Male,Married,28,Sedan - Liability,Sport,"20,000 to 29,000",1,400,1,more than 4,6 years,31 to 35,External,no change,Liability
2698,Toyota,Female,Married,52,Sedan - Liability,Sport,"20,000 to 29,000",8,700,3,2 to 4,7 years,41 to 50,External,no change,Liability
2699,Mazda,Male,Married,70,Sport - Collision,Sport,"more than 69,000",11,400,2,none,more than 7,over 65,External,no change,Collision
2700,Toyota,Male,Married,27,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,2,2 to 4,7 years,31 to 35,External,no change,All Perils
2701,Chevrolet,Male,Married,36,Sedan - Liability,Sport,"30,000 to 39,000",13,400,2,1,7 years,36 to 40,Internal,no change,Liability
2702,Honda,Female,Married,36,Sedan - Collision,Sedan,"less than 20,000",10,400,1,2 to 4,6 years,36 to 40,External,no change,Collision
2703,Toyota,Female,Single,29,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,2,2 to 4,5 years,31 to 35,External,no change,All Perils
2704,Toyota,Male,Single,28,Sedan - Liability,Sport,"20,000 to 29,000",16,400,4,2 to 4,5 years,31 to 35,External,2 to 3 years,Liability
2705,VW,Female,Single,28,Sedan - Collision,Sedan,"more than 69,000",7,400,2,1,6 years,31 to 35,External,no change,Collision
2706,Honda,Male,Married,26,Sport - Collision,Sport,"more than 69,000",15,400,2,1,7 years,31 to 35,External,no change,Collision
2707,Chevrolet,Male,Married,52,Sedan - Liability,Sport,"20,000 to 29,000",8,400,3,more than 4,7 years,41 to 50,External,no change,Liability
2708,Pontiac,Male,Married,45,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,2,none,7 years,36 to 40,External,no change,Collision
2709,Pontiac,Female,Single,57,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,4,none,6 years,51 to 65,External,no change,Collision
2710,Honda,Male,Married,33,Sedan - All Perils,Sedan,"30,000 to 39,000",2,400,2,2 to 4,6 years,31 to 35,External,4 to 8 years,All Perils
2711,Chevrolet,Female,Single,27,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,2,1,6 years,31 to 35,External,no change,All Perils
2712,Pontiac,Male,Married,33,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,4,none,5 years,31 to 35,External,no change,Collision
2713,Mazda,Male,Married,62,Sedan - Collision,Sedan,"less than 20,000",3,400,4,1,7 years,51 to 65,External,no change,Collision
2714,Chevrolet,Male,Married,48,Sedan - Liability,Sport,"20,000 to 29,000",2,400,2,1,7 years,41 to 50,External,no change,Liability
2715,VW,Male,Married,50,Sedan - Collision,Sedan,"more than 69,000",1,400,1,none,more than 7,41 to 50,External,no change,Collision
2716,Toyota,Female,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",3,400,4,2 to 4,7 years,36 to 40,External,no change,Liability
2717,Pontiac,Male,Married,44,Sedan - Collision,Sedan,"30,000 to 39,000",6,400,4,none,6 years,36 to 40,External,no change,Collision
2718,Toyota,Male,Married,36,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,3,1,more than 7,36 to 40,External,no change,Collision
2719,Honda,Male,Single,17,Sedan - Liability,Sport,"more than 69,000",4,400,3,none,new,16 to 17,External,no change,Liability
2720,Toyota,Female,Single,35,Sedan - Liability,Sport,"30,000 to 39,000",13,400,1,2 to 4,6 years,31 to 35,External,no change,Liability
2721,Mazda,Male,Married,33,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,3,2 to 4,5 years,31 to 35,External,no change,Collision
2722,Dodge,Male,Single,30,Sedan - Collision,Sedan,"30,000 to 39,000",15,400,1,2 to 4,5 years,31 to 35,External,no change,Collision
2723,Mazda,Male,Married,61,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,3,2 to 4,more than 7,51 to 65,External,no change,Collision
2724,Saab,Male,Married,36,Sedan - Liability,Sport,"more than 69,000",7,400,3,1,7 years,36 to 40,External,no change,Liability
2725,Ford,Male,Married,41,Sedan - Liability,Sport,"more than 69,000",11,400,2,2 to 4,7 years,36 to 40,Internal,no change,Liability
2726,Honda,Female,Married,39,Sedan - All Perils,Sedan,"more than 69,000",2,400,4,2 to 4,7 years,36 to 40,External,no change,All Perils
2727,Pontiac,Male,Single,40,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,3,1,more than 7,36 to 40,External,no change,Collision
2728,Honda,Male,Married,62,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,1,2 to 4,more than 7,51 to 65,External,no change,All Perils
2729,Honda,Male,Married,59,Sport - Collision,Sport,"more than 69,000",3,700,1,none,more than 7,51 to 65,External,no change,Collision
2730,Mercury,Male,Single,42,Utility - All Perils,Utility,"30,000 to 39,000",8,400,2,1,7 years,36 to 40,External,no change,All Perils
2731,Honda,Male,Single,17,Sedan - Collision,Sedan,"more than 69,000",6,400,3,none,new,16 to 17,External,1 year,Collision
2732,Pontiac,Male,Married,33,Sedan - All Perils,Sedan,"more than 69,000",9,400,3,none,6 years,31 to 35,External,no change,All Perils
2733,Honda,Male,Married,46,Sedan - Liability,Sport,"30,000 to 39,000",1,400,3,more than 4,more than 7,41 to 50,External,no change,Liability
2734,Mazda,Male,Single,27,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,1,1,6 years,31 to 35,External,no change,Collision
2735,Mazda,Male,Married,47,Utility - Liability,Utility,"more than 69,000",11,400,3,none,more than 7,41 to 50,External,no change,Liability
2736,Toyota,Male,Married,27,Sedan - Collision,Sedan,"30,000 to 39,000",5,400,1,1,7 years,31 to 35,External,no change,Collision
2737,Pontiac,Male,Single,26,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,1,none,7 years,31 to 35,External,no change,All Perils
2738,Mazda,Male,Married,37,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,1,2 to 4,7 years,36 to 40,External,no change,Collision
2739,Ford,Female,Single,40,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,2,none,4 years,36 to 40,External,no change,Collision
2740,Accura,Female,Married,38,Sedan - Liability,Sport,"30,000 to 39,000",13,400,3,more than 4,7 years,36 to 40,External,no change,Liability
2741,Pontiac,Female,Single,22,Sedan - Liability,Sport,"20,000 to 29,000",15,400,4,2 to 4,5 years,26 to 30,External,no change,Liability
2742,Toyota,Male,Single,48,Sedan - Collision,Sedan,"30,000 to 39,000",11,400,2,none,more than 7,41 to 50,External,no change,Collision
2743,Toyota,Male,Single,24,Sedan - Liability,Sport,"20,000 to 29,000",3,400,2,2 to 4,5 years,26 to 30,External,no change,Liability
2744,Pontiac,Male,Single,21,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,2,1,5 years,26 to 30,External,no change,Collision
2745,Mazda,Male,Married,64,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,3,none,more than 7,51 to 65,External,no change,Collision
2746,Toyota,Male,Married,47,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,1,2 to 4,more than 7,41 to 50,External,no change,Collision
2747,Honda,Female,Married,32,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,4,2 to 4,4 years,31 to 35,External,no change,Collision
2748,Toyota,Male,Single,21,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,2,2 to 4,5 years,26 to 30,External,no change,Collision
2749,Mazda,Female,Married,46,Sedan - Liability,Sport,"20,000 to 29,000",5,400,3,2 to 4,7 years,41 to 50,Internal,no change,Liability
2750,Toyota,Female,Single,18,Sedan - All Perils,Sedan,"less than 20,000",7,400,4,2 to 4,4 years,21 to 25,External,no change,All Perils
2751,Honda,Male,Married,33,Sedan - Liability,Sport,"20,000 to 29,000",3,400,2,2 to 4,7 years,31 to 35,External,no change,Liability
2752,Toyota,Male,Single,26,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,3,1,5 years,31 to 35,External,4 to 8 years,Collision
2753,Toyota,Male,Married,29,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,2,none,7 years,31 to 35,External,no change,All Perils
2754,Honda,Male,Single,36,Sedan - Liability,Sport,"more than 69,000",15,400,4,2 to 4,7 years,36 to 40,External,no change,Liability
2755,Pontiac,Male,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",13,500,4,more than 4,more than 7,36 to 40,External,2 to 3 years,Liability
2756,Toyota,Male,Married,57,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,1,none,more than 7,51 to 65,External,no change,All Perils
2757,Chevrolet,Female,Divorced,40,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,2,none,7 years,36 to 40,External,no change,All Perils
2758,Toyota,Male,Married,26,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,2,none,7 years,31 to 35,External,no change,All Perils
2759,Toyota,Female,Married,53,Sedan - All Perils,Sedan,"more than 69,000",12,400,3,1,6 years,41 to 50,External,no change,All Perils
2760,Pontiac,Male,Single,26,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,4,none,6 years,31 to 35,External,no change,Collision
2761,Mazda,Male,Married,28,Sedan - Liability,Sport,"30,000 to 39,000",9,400,2,more than 4,7 years,31 to 35,External,no change,Liability
2762,Honda,Male,Married,51,Sedan - Liability,Sport,"20,000 to 29,000",16,400,2,2 to 4,more than 7,41 to 50,External,no change,Liability
2763,Mazda,Male,Married,29,Sport - Collision,Sport,"more than 69,000",9,400,3,1,7 years,31 to 35,External,no change,Collision
2764,Pontiac,Male,Married,63,Sedan - All Perils,Sedan,"less than 20,000",2,400,3,none,more than 7,51 to 65,External,no change,All Perils
2765,Honda,Female,Married,67,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,2,none,more than 7,over 65,External,no change,Collision
2766,Ford,Male,Married,56,Sedan - Collision,Sedan,"30,000 to 39,000",11,400,2,none,7 years,51 to 65,External,no change,Collision
2767,Toyota,Male,Married,30,Sedan - Collision,Sedan,"less than 20,000",3,400,2,1,5 years,31 to 35,External,no change,Collision
2768,Honda,Male,Married,55,Sedan - Collision,Sedan,"30,000 to 39,000",11,400,3,1,more than 7,41 to 50,External,no change,Collision
2769,Mazda,Male,Married,53,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,1,none,more than 7,41 to 50,External,no change,Collision
2770,Honda,Male,Single,25,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,1,1,5 years,26 to 30,External,no change,All Perils
2771,Mazda,Male,Married,26,Sport - Collision,Sport,"more than 69,000",8,400,1,none,5 years,31 to 35,External,no change,Collision
2772,Mazda,Male,Single,31,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,1,none,6 years,31 to 35,External,no change,All Perils
2773,Honda,Male,Married,35,Sedan - Liability,Sport,"more than 69,000",6,400,3,2 to 4,7 years,31 to 35,External,4 to 8 years,Liability
2774,Pontiac,Male,Married,58,Sedan - Liability,Sport,"20,000 to 29,000",14,400,4,1,more than 7,51 to 65,External,no change,Liability
2775,Toyota,Male,Married,62,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,2,none,more than 7,51 to 65,External,no change,All Perils
2776,Toyota,Female,Married,50,Sedan - All Perils,Sedan,"20,000 to 29,000",13,400,3,none,more than 7,41 to 50,External,no change,All Perils
2777,Mazda,Male,Married,31,Sedan - Liability,Sport,"30,000 to 39,000",14,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
2778,Toyota,Female,Married,50,Sedan - Liability,Sport,"less than 20,000",2,400,4,2 to 4,more than 7,41 to 50,External,no change,Liability
2779,Pontiac,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,4,1,6 years,31 to 35,External,no change,Collision
2780,Chevrolet,Male,Married,44,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,4,2 to 4,7 years,36 to 40,External,no change,Collision
